workerid,proliferate.condition,chosen_continuation,exp_continuation,id,order,prompt,response,type,unexp_continuation,catch_trials,condition,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.other_language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1115,cond101,and it's not a big deal.,and it's not a big deal.,15_bone_modal,0,David wants to discover a bone on his archeological expedition,exp,modal,and it likely belonged to an extinct bird species.,[],101,24,Yes,,2,2,$1,Male,English,"Spanish, Swedish",,Chrome,Linux,915,412,2.7505333333333333,
917,cond76,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
917,cond76,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
917,cond76,The hat would have taken too much time to knit.,The hat would have taken too much time to knit.,10_hat_modal_affirmative_nonref,0,Chris wanted to knit a hat but he knitted a bag.,exp,modal_affirmative,The bag would have taken too much time to knit.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
917,cond76,His pie tasted delicious.,His pie tasted delicious.,8_cake_doubt_know_ref,1,I doubt that Michael baked a cake but I know that he baked a pie.,exp,doubt_know,His cake tasted delicious.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
917,cond76,It looks amazing on her.,It looks amazing on her.,5_shirt_managed,1,Mary managed to find a shirt at the store.,exp,managed,It's not a big deal.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
917,cond76,and it was very strong.,and it's not a big deal.,14_gin_negated,0,Dan didn't drink a gin tonic,unexp,negated,and it was very strong.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
917,cond76,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
917,cond76,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],76,55,Yes,Thank you,3,2,.50,Female,English,NA,no,Safari,Mac,800,1280,1.5032166666666666,
1275,cond76,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
1275,cond76,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
1275,cond76,and it's not a big deal.,and it's not a big deal.,14_gin_negated,1,Dan didn't drink a gin tonic,exp,negated,and it was very strong.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
1275,cond76,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
1275,cond76,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
1275,cond76,It looks amazing on her.,It looks amazing on her.,5_shirt_managed,1,Mary managed to find a shirt at the store.,exp,managed,It's not a big deal.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
1275,cond76,The hat would have taken too much time to knit.,The hat would have taken too much time to knit.,10_hat_modal_affirmative_nonref,1,Chris wanted to knit a hat but he knitted a bag.,exp,modal_affirmative,The bag would have taken too much time to knit.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
1275,cond76,His pie tasted delicious.,His pie tasted delicious.,8_cake_doubt_know_ref,0,I doubt that Michael baked a cake but I know that he baked a pie.,exp,doubt_know,His cake tasted delicious.,[],76,43,Yes,,2,1,0.25,Male,English,,No.,Chrome,Linux,846,412,1.4026666666666667,
793,cond76,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
793,cond76,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
793,cond76,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
793,cond76,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
793,cond76,It looks amazing on her.,It looks amazing on her.,5_shirt_managed,0,Mary managed to find a shirt at the store.,exp,managed,It's not a big deal.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
793,cond76,The hat would have taken too much time to knit.,The hat would have taken too much time to knit.,10_hat_modal_affirmative_nonref,1,Chris wanted to knit a hat but he knitted a bag.,exp,modal_affirmative,The bag would have taken too much time to knit.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
793,cond76,and it's not a big deal.,and it's not a big deal.,14_gin_negated,0,Dan didn't drink a gin tonic,exp,negated,and it was very strong.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
793,cond76,His pie tasted delicious.,His pie tasted delicious.,8_cake_doubt_know_ref,0,I doubt that Michael baked a cake but I know that he baked a pie.,exp,doubt_know,His cake tasted delicious.,[],76,19,Yes,,2,2,Yea,Female,English,Spanish & German,Not that I was aware of or ran into ,Safari,iPhone/iPod,896,414,3.5707,
1130,cond76,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1130,cond76,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1130,cond76,and it was very strong.,and it's not a big deal.,14_gin_negated,0,Dan didn't drink a gin tonic,unexp,negated,and it was very strong.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1130,cond76,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1130,cond76,It looks amazing on her.,It looks amazing on her.,5_shirt_managed,1,Mary managed to find a shirt at the store.,exp,managed,It's not a big deal.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1130,cond76,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1130,cond76,The hat would have taken too much time to knit.,The hat would have taken too much time to knit.,10_hat_modal_affirmative_nonref,0,Chris wanted to knit a hat but he knitted a bag.,exp,modal_affirmative,The bag would have taken too much time to knit.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1130,cond76,His cake tasted delicious.,His pie tasted delicious.,8_cake_doubt_know_ref,0,I doubt that Michael baked a cake but I know that he baked a pie.,unexp,doubt_know,His cake tasted delicious.,[],76,32,Yes,Thanks! ,3,1,.50,Male,English,NA,No,Chrome,Linux,768,1366,1.0975,
1041,cond76,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
1041,cond76,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
1041,cond76,His pie tasted delicious.,His pie tasted delicious.,8_cake_doubt_know_ref,1,I doubt that Michael baked a cake but I know that he baked a pie.,exp,doubt_know,His cake tasted delicious.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
1041,cond76,and it's not a big deal.,and it's not a big deal.,14_gin_negated,1,Dan didn't drink a gin tonic,exp,negated,and it was very strong.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
1041,cond76,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
1041,cond76,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
1041,cond76,It looks amazing on her.,It looks amazing on her.,5_shirt_managed,1,Mary managed to find a shirt at the store.,exp,managed,It's not a big deal.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
1041,cond76,The hat would have taken too much time to knit.,The hat would have taken too much time to knit.,10_hat_modal_affirmative_nonref,1,Chris wanted to knit a hat but he knitted a bag.,exp,modal_affirmative,The bag would have taken too much time to knit.,[],76,33,Yes,,4,2,,Female,English,,,Chrome,Windows,864,1536,2.6685666666666665,
785,cond83,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],83,25,Yes,,3,1,.50,Female,English,,No,Chrome,Mac,900,1440,1.1825666666666668,
785,cond83,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],83,25,Yes,,3,1,.50,Female,English,,No,Chrome,Mac,900,1440,1.1825666666666668,
785,cond83,His table is made out of solid wood.,His table is made out of solid wood.,13_bed_affirmative_negation_ref,0,Luke bought a table but he didn't buy a bed.,exp,affirmative_negation,His bed is made out of solid wood.,[],83,25,Yes,,3,1,.50,Female,English,,No,Chrome,Mac,900,1440,1.1825666666666668,
785,cond83,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],83,25,Yes,,3,1,.50,Female,English,,No,Chrome,Mac,900,1440,1.1825666666666668,
785,cond83,The bike that she liked would have been too expensive.,The bike that she liked would have been too expensive.,2_car_know_doubt_nonref,1,I know that Lucy has a car but I doubt that she has a bike.,exp,know_doubt,The car that she liked would have been too expensive.,[],83,25,Yes,,3,1,.50,Female,English,,No,Chrome,Mac,900,1440,1.1825666666666668,
785,cond83,and it's not a big deal.,and it's not a big deal.,6_rat_negated,1,Carla didn't get a pet rat,exp,negated,and it is very noisy at night.,[],83,25,Yes,,3,1,.50,Female,English,,No,Chrome,Mac,900,1440,1.1825666666666668,
785,cond83,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],83,25,Yes,,3,1,.50,Female,English,,No,Chrome,Mac,900,1440,1.1825666666666668,
1008,cond83,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],83,19,Yes,,1,1,.40,Female,English,,,Chrome,Windows,864,1536,2.2181333333333333,
1008,cond83,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],83,19,Yes,,1,1,.40,Female,English,,,Chrome,Windows,864,1536,2.2181333333333333,
1008,cond83,His table is made out of solid wood.,His table is made out of solid wood.,13_bed_affirmative_negation_ref,0,Luke bought a table but he didn't buy a bed.,exp,affirmative_negation,His bed is made out of solid wood.,[],83,19,Yes,,1,1,.40,Female,English,,,Chrome,Windows,864,1536,2.2181333333333333,
1008,cond83,The bike that she liked would have been too expensive.,The bike that she liked would have been too expensive.,2_car_know_doubt_nonref,0,I know that Lucy has a car but I doubt that she has a bike.,exp,know_doubt,The car that she liked would have been too expensive.,[],83,19,Yes,,1,1,.40,Female,English,,,Chrome,Windows,864,1536,2.2181333333333333,
1008,cond83,and it's not a big deal.,and it's not a big deal.,6_rat_negated,0,Carla didn't get a pet rat,exp,negated,and it is very noisy at night.,[],83,19,Yes,,1,1,.40,Female,English,,,Chrome,Windows,864,1536,2.2181333333333333,
1008,cond83,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],83,19,Yes,,1,1,.40,Female,English,,,Chrome,Windows,864,1536,2.2181333333333333,
1008,cond83,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],83,19,Yes,,1,1,.40,Female,English,,,Chrome,Windows,864,1536,2.2181333333333333,
1220,cond83,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],83,26,Yes,,-1,1,$.50,Male,English,N/a,No,Safari,iPhone/iPod,667,375,1.3152333333333333,
1220,cond83,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],83,26,Yes,,-1,1,$.50,Male,English,N/a,No,Safari,iPhone/iPod,667,375,1.3152333333333333,
1220,cond83,The bike that she liked would have been too expensive.,The bike that she liked would have been too expensive.,2_car_know_doubt_nonref,0,I know that Lucy has a car but I doubt that she has a bike.,exp,know_doubt,The car that she liked would have been too expensive.,[],83,26,Yes,,-1,1,$.50,Male,English,N/a,No,Safari,iPhone/iPod,667,375,1.3152333333333333,
1220,cond83,and it's not a big deal.,and it's not a big deal.,6_rat_negated,1,Carla didn't get a pet rat,exp,negated,and it is very noisy at night.,[],83,26,Yes,,-1,1,$.50,Male,English,N/a,No,Safari,iPhone/iPod,667,375,1.3152333333333333,
1220,cond83,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],83,26,Yes,,-1,1,$.50,Male,English,N/a,No,Safari,iPhone/iPod,667,375,1.3152333333333333,
1220,cond83,His table is made out of solid wood.,His table is made out of solid wood.,13_bed_affirmative_negation_ref,1,Luke bought a table but he didn't buy a bed.,exp,affirmative_negation,His bed is made out of solid wood.,[],83,26,Yes,,-1,1,$.50,Male,English,N/a,No,Safari,iPhone/iPod,667,375,1.3152333333333333,
1220,cond83,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],83,26,Yes,,-1,1,$.50,Male,English,N/a,No,Safari,iPhone/iPod,667,375,1.3152333333333333,
1078,cond83,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],83,30,Yes,,4,1,$1,Female,English,,No,Chrome,Windows,1152,2048,0.9281333333333334,
1078,cond83,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],83,30,Yes,,4,1,$1,Female,English,,No,Chrome,Windows,1152,2048,0.9281333333333334,
1078,cond83,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],83,30,Yes,,4,1,$1,Female,English,,No,Chrome,Windows,1152,2048,0.9281333333333334,
1078,cond83,His table is made out of solid wood.,His table is made out of solid wood.,13_bed_affirmative_negation_ref,1,Luke bought a table but he didn't buy a bed.,exp,affirmative_negation,His bed is made out of solid wood.,[],83,30,Yes,,4,1,$1,Female,English,,No,Chrome,Windows,1152,2048,0.9281333333333334,
1078,cond83,and it's not a big deal.,and it's not a big deal.,6_rat_negated,0,Carla didn't get a pet rat,exp,negated,and it is very noisy at night.,[],83,30,Yes,,4,1,$1,Female,English,,No,Chrome,Windows,1152,2048,0.9281333333333334,
1078,cond83,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],83,30,Yes,,4,1,$1,Female,English,,No,Chrome,Windows,1152,2048,0.9281333333333334,
1078,cond83,The bike that she liked would have been too expensive.,The bike that she liked would have been too expensive.,2_car_know_doubt_nonref,1,I know that Lucy has a car but I doubt that she has a bike.,exp,know_doubt,The car that she liked would have been too expensive.,[],83,30,Yes,,4,1,$1,Female,English,,No,Chrome,Windows,1152,2048,0.9281333333333334,
912,cond83,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],83,26,Yes,,3,1,$1,Female,English ,Spanish ,No,Safari,iPhone/iPod,812,375,58.51343333333333,
912,cond83,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],83,26,Yes,,3,1,$1,Female,English ,Spanish ,No,Safari,iPhone/iPod,812,375,58.51343333333333,
912,cond83,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],83,26,Yes,,3,1,$1,Female,English ,Spanish ,No,Safari,iPhone/iPod,812,375,58.51343333333333,
912,cond83,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],83,26,Yes,,3,1,$1,Female,English ,Spanish ,No,Safari,iPhone/iPod,812,375,58.51343333333333,
912,cond83,His table is made out of solid wood.,His table is made out of solid wood.,13_bed_affirmative_negation_ref,1,Luke bought a table but he didn't buy a bed.,exp,affirmative_negation,His bed is made out of solid wood.,[],83,26,Yes,,3,1,$1,Female,English ,Spanish ,No,Safari,iPhone/iPod,812,375,58.51343333333333,
912,cond83,and it's not a big deal.,and it's not a big deal.,6_rat_negated,0,Carla didn't get a pet rat,exp,negated,and it is very noisy at night.,[],83,26,Yes,,3,1,$1,Female,English ,Spanish ,No,Safari,iPhone/iPod,812,375,58.51343333333333,
912,cond83,The bike that she liked would have been too expensive.,The bike that she liked would have been too expensive.,2_car_know_doubt_nonref,0,I know that Lucy has a car but I doubt that she has a bike.,exp,know_doubt,The car that she liked would have been too expensive.,[],83,26,Yes,,3,1,$1,Female,English ,Spanish ,No,Safari,iPhone/iPod,812,375,58.51343333333333,
1106,cond83,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],83,34,Yes,,1,2,$1,Female,English,,no,Chrome,Windows,900,1600,1.1436166666666667,
1106,cond83,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],83,34,Yes,,1,2,$1,Female,English,,no,Chrome,Windows,900,1600,1.1436166666666667,
1106,cond83,The bike that she liked would have been too expensive.,The bike that she liked would have been too expensive.,2_car_know_doubt_nonref,1,I know that Lucy has a car but I doubt that she has a bike.,exp,know_doubt,The car that she liked would have been too expensive.,[],83,34,Yes,,1,2,$1,Female,English,,no,Chrome,Windows,900,1600,1.1436166666666667,
1106,cond83,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],83,34,Yes,,1,2,$1,Female,English,,no,Chrome,Windows,900,1600,1.1436166666666667,
1106,cond83,and it's not a big deal.,and it's not a big deal.,6_rat_negated,1,Carla didn't get a pet rat,exp,negated,and it is very noisy at night.,[],83,34,Yes,,1,2,$1,Female,English,,no,Chrome,Windows,900,1600,1.1436166666666667,
1106,cond83,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],83,34,Yes,,1,2,$1,Female,English,,no,Chrome,Windows,900,1600,1.1436166666666667,
1106,cond83,His table is made out of solid wood.,His table is made out of solid wood.,13_bed_affirmative_negation_ref,0,Luke bought a table but he didn't buy a bed.,exp,affirmative_negation,His bed is made out of solid wood.,[],83,34,Yes,,1,2,$1,Female,English,,no,Chrome,Windows,900,1600,1.1436166666666667,
1059,cond56,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],114,25,Yes,,3,2,3.00,Female,English,NA,No,Chrome,Linux,937,1920,1.07475,
1059,cond56,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],114,25,Yes,,3,2,3.00,Female,English,NA,No,Chrome,Linux,937,1920,1.07475,
1059,cond56,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],114,25,Yes,,3,2,3.00,Female,English,NA,No,Chrome,Linux,937,1920,1.07475,
1059,cond56,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],114,25,Yes,,3,2,3.00,Female,English,NA,No,Chrome,Linux,937,1920,1.07475,
1059,cond56,The bass made a great dinner.,The bass made a great dinner.,11_cod_managed_failed_ref,0,Sarah managed to catch a bass but failed to catch a cod.,exp,managed_failed,The cod made a great dinner.,[],114,25,Yes,,3,2,3.00,Female,English,NA,No,Chrome,Linux,937,1920,1.07475,
1059,cond56,and it's not a big deal.,and it's not a big deal.,8_cake_negated,1,Michael didn't bake a cake,exp,negated,and it was the best thing at the picnic.,[],114,25,Yes,,3,2,3.00,Female,English,NA,No,Chrome,Linux,937,1920,1.07475,
1059,cond56,The hat that she tried on didn't fit.,The hat that she tried on didn't fit.,5_shirt_affirmative_modal_nonref,1,Mary found a shirt at the store but she wanted to find a hat.,exp,affirmative_modal,The shirt that she tried on didn't fit.,[],114,25,Yes,,3,2,3.00,Female,English,NA,No,Chrome,Linux,937,1920,1.07475,
1188,cond56,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],56,51,Yes,,2,2,0.50,Male,English,none,No problems or bugs,Firefox,Windows,900,1440,2.838216666666667,
1188,cond56,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],56,51,Yes,,2,2,0.50,Male,English,none,No problems or bugs,Firefox,Windows,900,1440,2.838216666666667,
1188,cond56,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],56,51,Yes,,2,2,0.50,Male,English,none,No problems or bugs,Firefox,Windows,900,1440,2.838216666666667,
1188,cond56,It's not a big deal.,It's not a big deal.,12_ticket_failed,0,Thomas failed to book a ticket.,exp,failed,It was much cheaper than he expected.,[],56,51,Yes,,2,2,0.50,Male,English,none,No problems or bugs,Firefox,Windows,900,1440,2.838216666666667,
1188,cond56,The bag would have taken too much time to knit.,The bag would have taken too much time to knit.,10_hat_affirmative_negation_nonref,0,Chris knitted a hat but he didn't knit a bag.,exp,affirmative_negation,The hat would have taken too much time to knit.,[],56,51,Yes,,2,2,0.50,Male,English,none,No problems or bugs,Firefox,Windows,900,1440,2.838216666666667,
1188,cond56,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],56,51,Yes,,2,2,0.50,Male,English,none,No problems or bugs,Firefox,Windows,900,1440,2.838216666666667,
1188,cond56,The beer was served in a plastic cup.,The beer was served in a plastic cup.,7_beer_managed_failed_ref,0,Sam managed to order a beer at the bar but failed to order a cocktail.,exp,managed_failed,The cocktail was served in a plastic cup.,[],56,51,Yes,,2,2,0.50,Male,English,none,No problems or bugs,Firefox,Windows,900,1440,2.838216666666667,
927,cond56,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],56,34,Yes,,3,1,.75,Female,English,"not fluent: French, Spanish (some of multiple Duolingo courses)",,Chrome,Windows,900,1600,1.792266666666667,
927,cond56,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],56,34,Yes,,3,1,.75,Female,English,"not fluent: French, Spanish (some of multiple Duolingo courses)",,Chrome,Windows,900,1600,1.792266666666667,
927,cond56,It's not a big deal.,It's not a big deal.,12_ticket_failed,1,Thomas failed to book a ticket.,exp,failed,It was much cheaper than he expected.,[],56,34,Yes,,3,1,.75,Female,English,"not fluent: French, Spanish (some of multiple Duolingo courses)",,Chrome,Windows,900,1600,1.792266666666667,
927,cond56,The beer was served in a plastic cup.,The beer was served in a plastic cup.,7_beer_managed_failed_ref,1,Sam managed to order a beer at the bar but failed to order a cocktail.,exp,managed_failed,The cocktail was served in a plastic cup.,[],56,34,Yes,,3,1,.75,Female,English,"not fluent: French, Spanish (some of multiple Duolingo courses)",,Chrome,Windows,900,1600,1.792266666666667,
927,cond56,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],56,34,Yes,,3,1,.75,Female,English,"not fluent: French, Spanish (some of multiple Duolingo courses)",,Chrome,Windows,900,1600,1.792266666666667,
927,cond56,The bag would have taken too much time to knit.,The bag would have taken too much time to knit.,10_hat_affirmative_negation_nonref,1,Chris knitted a hat but he didn't knit a bag.,exp,affirmative_negation,The hat would have taken too much time to knit.,[],56,34,Yes,,3,1,.75,Female,English,"not fluent: French, Spanish (some of multiple Duolingo courses)",,Chrome,Windows,900,1600,1.792266666666667,
927,cond56,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],56,34,Yes,,3,1,.75,Female,English,"not fluent: French, Spanish (some of multiple Duolingo courses)",,Chrome,Windows,900,1600,1.792266666666667,
841,cond56,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],56,63,Yes,,2,2,$3.00,Female,English,,no,Chrome,Windows,720,1280,2.22205,
841,cond56,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],56,63,Yes,,2,2,$3.00,Female,English,,no,Chrome,Windows,720,1280,2.22205,
